cnid,contractstart,contractend
16019,29/11/2005,29/11/2005
66983-A1,17/03/2008,30/06/2008
1039,06/06/2007,31/01/2020
81542,21/04/2008,30/06/2008
56351,03/01/2008,31/01/2008
23366,15/12/2005,15/12/2006
7952,04/08/2005,31/01/2020
42985,25/10/2007,28/10/2008
6527,17/10/2006,17/10/2006
8648,03/11/2005,13/11/2005
682,27/07/2004,30/07/2004
30224,15/08/2007,30/06/2008
26417,30/07/2007,30/06/2009
82833,13/03/2008,18/09/2008
57265,10/01/2008,30/06/2020
54737,24/12/2007,13/11/2010
416822,14/06/2011,30/06/2012
302428,17/06/2010,17/06/2010
438619,17/10/2011,30/06/2012
411231,04/07/2011,30/07/2011
421218,01/07/2011,30/12/2011
420501,29/07/2011,07/09/2011
420578,08/06/2011,08/06/2011
440543,13/10/2011,30/09/2012
435189,08/09/2011,30/06/2012
429088,24/08/2011,30/12/2044
427198,01/08/2011,02/08/2012
429787,01/07/2010,31/12/2011
254600,28/10/2005,28/10/2005
275313,08/09/2008,08/09/2008
320464,29/07/2010,30/09/2011
362619,02/07/2010,30/06/2011
366387,20/01/2011,30/06/2011
366388,20/01/2011,30/06/2011
372247,01/03/2011,21/04/2011
392031,09/05/2011,31/07/2011
385200,19/04/2011,20/04/2011
375326,11/03/2011,30/06/2011
375784,18/03/2011,30/06/2011
73682,26/03/2008,29/04/2009
74564,23/04/2008,05/05/2008
88396,02/06/2008,26/06/2008
95162,12/06/2008,31/03/2039
97866,04/06/2008,11/09/2008
124080,10/09/2008,15/09/2009
127370,25/09/2008,15/06/2010
135913,29/10/2008,26/11/2009
145398,01/04/2004,31/12/2004
